movie_id,title,keyword
11357,Halloween 4: The Return of Michael Myers,twist
11357,Halloween 4: The Return of Michael Myers,knife
11357,Halloween 4: The Return of Michael Myers,sequel
11357,Halloween 4: The Return of Michael Myers,murder
11357,Halloween 4: The Return of Michael Myers,serial killer
11357,Halloween 4: The Return of Michael Myers,masked killer
11357,Halloween 4: The Return of Michael Myers,blood
11357,Halloween 4: The Return of Michael Myers,niece
11357,Halloween 4: The Return of Michael Myers,evil
11357,Halloween 4: The Return of Michael Myers,michael myers
11357,Halloween 4: The Return of Michael Myers,october
24913,April Fool's Day,island
24913,April Fool's Day,party
24913,April Fool's Day,murder
24913,April Fool's Day,teen movie
24913,April Fool's Day,slasher
24913,April Fool's Day,april fool's day
24913,April Fool's Day,holiday horror
24913,April Fool's Day,canuxploitation
24913,April Fool's Day,elimination derby
24913,April Fool's Day,college friends
13776,Diner,diner
13776,Diner,baltimore maryland
13776,Diner,fake accident
13776,Diner,gambling debt
13776,Diner,twenty something
13776,Diner,1950s
14854,Lone Wolf McQuade,martial arts
14854,Lone Wolf McQuade,kung fu
14854,Lone Wolf McQuade,texas
14854,Lone Wolf McQuade,fbi
14854,Lone Wolf McQuade,wheelchair
14854,Lone Wolf McQuade,texas ranger
14854,Lone Wolf McQuade,weapon
14854,Lone Wolf McQuade,gun battle
14854,Lone Wolf McQuade,drug
14854,Lone Wolf McQuade,father daughter relationship
14854,Lone Wolf McQuade,killing a dog
50357,Apollo 18,moon
50357,Apollo 18,nasa
50357,Apollo 18,infection
50357,Apollo 18,barbecue
50357,Apollo 18,moon landing
50357,Apollo 18,hammer
50357,Apollo 18,alien
50357,Apollo 18,mockumentary
50357,Apollo 18,astronaut
50357,Apollo 18,alien infection
50357,Apollo 18,found footage
13090,Sunshine Cleaning,suicide
13090,Sunshine Cleaning,single parent
13090,Sunshine Cleaning,sister sister relationship
13090,Sunshine Cleaning,cleaning lady
13090,Sunshine Cleaning,new mexico
13090,Sunshine Cleaning,teamwork
13090,Sunshine Cleaning,family business 
13090,Sunshine Cleaning,crime scene
13090,Sunshine Cleaning,woman director
192141,No Escape,hotel
192141,No Escape,revolution
192141,No Escape,race against time
192141,No Escape,engineer
192141,No Escape,coup
192141,No Escape,survival
192141,No Escape,rebellion
192141,No Escape,execution
192141,No Escape,american
192141,No Escape,family
192141,No Escape,american abroad
192141,No Escape,u.s. embassy
192141,No Escape,foreign
16441,The Beastmaster,sword fight
16441,The Beastmaster,animal
29996,Solomon and Sheba,israel
29996,Solomon and Sheba,egypt
29996,Solomon and Sheba,religion and supernatural
29996,Solomon and Sheba,epic
351819,Fifty Shades of Black,sex
351819,Fifty Shades of Black,black
351819,Fifty Shades of Black,parody
351819,Fifty Shades of Black,spoof
351819,Fifty Shades of Black,millionaire
22649,A Farewell to Arms,italy
22649,A Farewell to Arms,nurse
22649,A Farewell to Arms,love letter
22649,A Farewell to Arms,officer
22649,A Farewell to Arms,priest
22649,A Farewell to Arms,escape
22649,A Farewell to Arms,hospital
22649,A Farewell to Arms,best friend
22649,A Farewell to Arms,pre-code
22649,A Farewell to Arms,air raid
22649,A Farewell to Arms,ambulance driver
22649,A Farewell to Arms,battle of the isonzo
22649,A Farewell to Arms,air attack
378200,The Perfect Match,bet
378200,The Perfect Match,match
378200,The Perfect Match,playboy
378200,The Perfect Match,fear of commitment
378200,The Perfect Match,best friend
20455,Digimon: The Movie,video game
20455,Digimon: The Movie,monster
20455,Digimon: The Movie,loss of energy
20455,Digimon: The Movie,egg
20455,Digimon: The Movie,computer
20455,Digimon: The Movie,good vs evil
